year,abuse,discourtesy,force,language,statement,total
1999,106,58,148,26,0,338
2000,2830,1351,2199,241,0,6621
2001,3133,1446,2481,254,0,7314
2002,3853,1618,2640,225,0,8336
2003,4443,1866,2704,267,0,9280
2004,5058,1826,2765,309,0,9958
2005,5723,1775,3027,297,0,10822
2006,5995,1864,3441,326,0,11626
2007,5947,1870,3401,312,0,11530
2008,4872,1737,2754,271,0,9634
2009,4508,1730,2554,262,0,9054
2010,4375,1768,2746,249,0,9138
2011,4153,1775,2609,316,0,8853
2012,3971,1508,2331,253,0,8063
2013,3889,1376,2595,241,0,8101
2014,3597,1305,2280,284,0,7466
2015,3835,1162,2159,246,0,7402
2016,4417,1171,2261,260,0,8109
2017,5089,1168,2114,256,0,8627
2018,5890,1148,2528,253,0,9819
2019,7068,1245,3017,241,25,11596
2020,6534,1124,2764,232,81,10735
